                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5171,                 3.8333,                 1.7404,                0.27475,                0.19565,                0.15533,                 0.0582,                 2.2246,                  8.436,                 2.5815,             0.00066392,             0.00066392,             0.00066392
                      2,                 1.7058,                  2.555,                 1.8324,                0.67744,                0.36522,                 0.4186,                0.18789,                 2.1314,                 3.2475,                 2.1861,              0.0013174,              0.0013174,              0.0013174
                      3,                 1.7328,                   2.21,                 1.8499,                0.54809,                0.44783,                  0.494,                0.25262,                 1.9246,                  3.573,                 1.9738,              0.0019577,              0.0019577,              0.0019577
                      4,                 1.6846,                 2.1073,                  1.802,                0.49447,                0.35217,                0.38294,                0.17175,                 2.0537,                  3.189,                 2.0331,              0.0019406,              0.0019406,              0.0019406
                      5,                  1.628,                 1.9457,                 1.7669,                0.55714,                 0.3087,                0.31762,                0.14775,                 2.3707,                 5.2549,                  2.406,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.5951,                 1.8143,                 1.7127,                0.69115,                0.54487,                0.57491,                0.30129,                 2.0523,                 3.1027,                  2.004,              0.0019208,              0.0019208,              0.0019208
                      7,                  1.563,                  1.787,                 1.6827,                0.55542,                0.43913,                0.43283,                0.22946,                 2.2193,                 4.2833,                 2.1086,               0.001901,               0.001901,               0.001901
                      8,                 1.5321,                 1.7492,                 1.6575,                0.83713,                0.66522,                0.73392,                0.43765,                 1.7424,                 2.2266,                 1.7506,              0.0018812,              0.0018812,              0.0018812
                      9,                  1.463,                 1.6572,                   1.61,                0.85604,                0.66522,                0.74074,                0.42432,                 1.6607,                 2.0881,                 1.6883,              0.0018614,              0.0018614,              0.0018614
                     10,                   1.44,                 1.5531,                 1.6017,                0.85659,                0.67391,                0.74782,                0.42587,                   1.74,                 2.2901,                 1.6904,              0.0018416,              0.0018416,              0.0018416
