                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2382,                 2.9236,                  1.373,                      1,                0.23281,                0.62907,                0.39558,                 1.2386,                 3.2061,                 1.3515,                 0.0004,                 0.0004,                 0.0004
                      2,                 1.2677,                 1.9962,                 1.3239,                0.89788,                0.37954,                0.68708,                0.43043,                 1.2181,                 2.9424,                 1.3402,             0.00081188,             0.00081188,             0.00081188
                      3,                 1.2045,                 1.9553,                 1.2773,                0.76844,                0.30935,                0.42989,                0.20103,                 1.8139,                 3.4316,                 2.4045,              0.0012154,              0.0012154,              0.0012154
                      4,                 1.3604,                 1.9327,                 1.3937,                0.46262,                0.46763,                0.40959,                0.23779,                  1.555,                 2.9991,                 1.9487,              0.0016107,              0.0016107,              0.0016107
                      5,                 1.3026,                 1.9022,                  1.366,                0.34966,                0.47482,                0.41794,                0.23745,                  1.592,                  6.934,                 1.7793,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.4542,                 1.9678,                 1.5277,                0.79828,                0.65482,                0.76578,                0.48412,                 1.4214,                 2.1675,                 1.6663,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.3829,                 1.6515,                 1.4385,                0.27514,                0.43885,                0.29012,                0.14479,                 1.8197,                 5.2888,                 2.0098,               0.001901,               0.001901,               0.001901
                      8,                 1.4159,                  1.777,                 1.4814,                0.65674,                0.59712,                0.65201,                0.34597,                 1.6307,                 5.7711,                 1.8349,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.3941,                 1.5264,                 1.4452,                0.77567,                0.61871,                0.74022,                0.50239,                 1.3642,                 2.4964,                 1.4849,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.2871,                 1.4212,                 1.3785,                0.73701,                0.63309,                0.77272,                0.41064,                 1.4858,                 3.3583,                 1.6354,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.2552,                 1.2084,                 1.3359,                0.87031,                0.71942,                0.87958,                0.54638,                  1.382,                 1.3369,                 1.4159,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.1748,                 1.5396,                 1.2661,                0.38163,                0.29496,                0.28274,                0.12222,                 2.6127,                 2.8487,                   2.67,               0.001802,               0.001802,               0.001802
                     13,                 1.2861,                 1.2449,                 1.3889,                 0.9398,                0.84173,                0.93412,                0.65995,                 1.1473,                 1.0463,                 1.2712,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.2331,                 1.1936,                 1.2987,                0.86971,                0.88489,                0.92778,                0.60561,                  1.225,                 1.0422,                 1.3257,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.2393,                 1.1051,                 1.2907,                0.88589,                 0.8705,                0.93873,                0.64585,                 1.1381,                  1.152,                 1.2214,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.1852,                 1.0313,                 1.2904,                0.92694,                0.84173,                0.94468,                0.64473,                 1.1458,                0.98235,                 1.2766,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.2469,                 1.1038,                 1.3249,                0.98584,                0.80576,                0.90706,                0.62232,                 1.1834,                 1.0355,                 1.2576,               0.001703,               0.001703,               0.001703
                     18,                  1.219,                 1.0227,                 1.3171,                0.91283,                 0.9041,                0.94886,                0.63872,                  1.198,                0.91512,                 1.2533,              0.0016832,              0.0016832,              0.0016832
                     19,                  1.182,                0.97021,                 1.2668,                0.94194,                0.93525,                0.97112,                0.66202,                 1.1667,                0.82628,                 1.2828,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.1591,                 1.0259,                 1.3179,                0.92234,                0.89209,                0.93422,                0.62118,                 1.1883,                0.90868,                 1.2408,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.3041,                 1.1059,                 1.3441,                0.95988,                0.86059,                0.94058,                0.66184,                  1.119,                 1.0592,                 1.2334,              0.0016238,              0.0016238,              0.0016238
                     22,                  1.143,                0.94562,                 1.2748,                0.92353,                0.95572,                0.98209,                0.67857,                 1.1394,                0.81391,                 1.2776,               0.001604,               0.001604,               0.001604
                     23,                 1.1229,                0.92738,                 1.2608,                0.96258,                0.92535,                0.97178,                0.67844,                 1.1257,                 0.8463,                 1.2003,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.2119,                0.91306,                 1.2759,                0.96156,                0.89983,                0.97152,                0.65721,                 1.1327,                0.80392,                 1.2019,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.1574,                0.90043,                 1.2634,                0.89356,                 0.8777,                0.95348,                0.68848,                 1.0356,                0.95129,                 1.1969,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.1393,                0.95205,                 1.2393,                0.93324,                0.86331,                0.95234,                0.67406,                 1.0989,                0.79785,                  1.205,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.0966,                0.85533,                  1.256,                0.96119,                0.89083,                0.96754,                0.70327,                 1.0337,                0.71618,                 1.1722,               0.001505,               0.001505,               0.001505
                     28,                  1.133,                0.88786,                 1.2504,                0.98409,                   0.89,                0.97053,                0.68544,                 1.0759,                0.70641,                  1.268,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.0867,                0.85208,                 1.2507,                0.96943,                0.91269,                0.97992,                0.69952,                 1.0762,                0.70422,                 1.2039,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.1569,                0.83707,                 1.2952,                0.96246,                0.92235,                0.98079,                0.71563,                 1.0431,                0.66154,                 1.1834,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.1275,                0.85849,                 1.2701,                0.93483,                0.92871,                0.97202,                0.70448,                 1.0876,                0.67615,                 1.1867,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.1366,                0.83891,                 1.2844,                0.91019,                0.80204,                  0.865,                0.57914,                  1.259,                0.96943,                 1.2861,               0.001406,               0.001406,               0.001406
                     33,                 1.1428,                0.93308,                 1.2974,                0.92754,                0.92086,                0.96359,                0.69664,                  1.021,                0.67999,                 1.1463,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.0956,                0.78533,                 1.2296,                0.94775,                0.92806,                0.96614,                0.71994,                 1.0198,                0.65325,                 1.1277,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.1157,                0.83644,                 1.2622,                0.94222,                0.93862,                0.97759,                0.72417,                 1.0075,                0.62906,                 1.1339,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.1254,                0.83391,                 1.2396,                0.93838,                0.95683,                0.98124,                0.73518,                 1.0223,                0.61639,                  1.153,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.0242,                0.81182,                 1.2081,                0.92087,                0.92094,                0.96674,                0.71063,                 1.0186,                0.64211,                 1.1393,               0.001307,               0.001307,               0.001307
                     38,                 1.0711,                0.77954,                 1.2376,                0.96631,                0.88489,                0.95475,                0.69809,                 1.0341,                0.66136,                 1.1701,              0.0012872,              0.0012872,              0.0012872
                     39,                0.97793,                0.70918,                 1.1666,                0.93131,                0.94964,                0.97968,                0.71923,                 1.0096,                0.59205,                 1.1426,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.0567,                0.76819,                 1.2059,                0.97061,                0.95052,                0.98401,                0.71698,                0.99801,                0.59588,                 1.1475,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.0172,                0.72223,                 1.1699,                0.95656,                0.95043,                0.98545,                0.71251,                 1.0265,                 0.5889,                 1.1847,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.0692,                0.75499,                 1.2395,                0.95164,                0.97122,                0.98309,                0.72258,                  1.028,                0.60348,                 1.1555,               0.001208,               0.001208,               0.001208
                     43,                 1.0639,                0.73795,                 1.2171,                0.93606,                0.96403,                0.98415,                0.71832,                 1.0135,                0.62099,                 1.1491,              0.0011882,              0.0011882,              0.0011882
                     44,                  1.012,                0.72923,                 1.1898,                0.98525,                0.96091,                0.98688,                0.70642,                  1.048,                0.60292,                 1.1851,              0.0011684,              0.0011684,              0.0011684
                     45,                0.99526,                0.70869,                 1.1771,                0.94135,                0.94964,                0.96864,                0.71949,                0.99746,                0.64504,                 1.1165,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.0069,                 0.6778,                 1.1722,                0.93818,                0.95683,                0.98616,                0.72174,                 1.0161,                0.57718,                  1.144,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.0232,                0.72208,                 1.2162,                0.94885,                0.93418,                0.98559,                0.72195,                 1.0328,                0.56397,                 1.1329,               0.001109,               0.001109,               0.001109
                     48,                 1.0693,                0.72031,                 1.1952,                 0.9847,                0.92619,                0.97834,                0.72352,                 1.0049,                0.58873,                 1.1154,              0.0010892,              0.0010892,              0.0010892
                     49,                   1.12,                0.78943,                  1.282,                0.98274,                0.93525,                0.98763,                0.71556,                 1.0307,                0.56411,                 1.1507,              0.0010694,              0.0010694,              0.0010694
                     50,                0.96617,                  0.727,                 1.1508,                0.98317,                0.94964,                0.99097,                0.72599,                0.98252,                0.53264,                 1.1314,              0.0010496,              0.0010496,              0.0010496
                     51,                0.94942,                0.69365,                 1.1482,                0.95032,                0.96324,                0.99061,                0.72963,                0.97931,                0.55872,                 1.1568,              0.0010298,              0.0010298,              0.0010298
                     52,                0.97519,                0.64827,                  1.148,                0.95129,                0.98358,                 0.9881,                0.72149,                0.98657,                0.53026,                 1.1569,                0.00101,                0.00101,                0.00101
                     53,                0.94604,                 0.6465,                  1.141,                0.94427,                0.97512,                0.98866,                0.72291,                0.97861,                0.52262,                 1.1505,              0.0009902,              0.0009902,              0.0009902
                     54,                  1.028,                0.70248,                 1.1798,                0.94385,                0.97842,                0.98448,                 0.7293,                0.99199,                0.56398,                 1.1402,              0.0009704,              0.0009704,              0.0009704
                     55,                0.95625,                0.64289,                  1.145,                0.97061,                0.95052,                0.98946,                0.74315,                0.96089,                0.51571,                 1.1257,              0.0009506,              0.0009506,              0.0009506
                     56,                0.95695,                0.67223,                 1.1699,                0.97173,                0.98925,                0.99323,                0.73081,                0.98289,                0.54077,                 1.1539,              0.0009308,              0.0009308,              0.0009308
                     57,                0.98205,                0.69105,                 1.1712,                0.97804,                0.96103,                0.98478,                0.72547,                0.97791,                0.51871,                  1.136,               0.000911,               0.000911,               0.000911
                     58,                0.93854,                 0.6485,                 1.1513,                0.98453,                0.94964,                 0.9911,                0.72819,                0.95524,                0.51068,                 1.1073,              0.0008912,              0.0008912,              0.0008912
                     59,                0.93189,                0.64942,                 1.1251,                0.98521,                0.95822,                0.98924,                 0.7398,                0.98506,                 0.5169,                 1.1159,              0.0008714,              0.0008714,              0.0008714
                     60,                0.91014,                0.62731,                 1.1228,                0.96991,                0.97842,                0.99136,                0.73303,                0.97859,                0.50917,                  1.133,              0.0008516,              0.0008516,              0.0008516
                     61,                0.94368,                0.64109,                  1.159,                0.96025,                0.97122,                0.99138,                0.74895,                0.97687,                 0.5146,                 1.0968,              0.0008318,              0.0008318,              0.0008318
                     62,                0.94396,                0.60353,                 1.1336,                0.93887,                0.93525,                0.97193,                0.72687,                0.95552,                0.56106,                 1.1198,               0.000812,               0.000812,               0.000812
